route_id,start_lat,start_lon,end_lat,end_lon,distinct_cyclists,days_active,popularity_rating,avg_speed,avg_duration,route_type,has_bike_lane
1,51.528926935176145,-0.1408045746856068,51.538597057382354,-0.11381627579331538,183,360,6,13.091284171842297,53.59946479013905,Exercise,True
2,51.572305268631744,-0.09573629071916152,51.59679134907819,-0.1484632494695219,910,12,9,23.977793237279375,49.89439849335265,Mixed,True
3,51.549086881274775,-0.08826929163765992,51.51879056973326,-0.07435863324488323,483,241,2,23.326699860840744,18.157842211000652,Leisure,False
4,51.54783913796163,-0.13504495807047048,51.566206499461245,-0.05398303463173873,933,163,9,17.202073803211803,52.276037201919934,Commute,True
5,51.58802337372304,-0.07244612684164373,51.50908912284256,-0.09265419059650024,404,135,8,21.979868004744915,26.993934858106744,Exercise,True
6,51.59119886891317,-0.14654883482410253,51.54663671111508,-0.0875432588113774,768,46,5,21.414791541021106,11.667610764860866,Mixed,True
7,51.53922715767653,-0.12064571190443998,51.55127450309915,-0.06211946527538468,973,200,6,19.859363164898728,58.79799279730024,Commute,False
8,51.567001659372636,-0.12160545601473453,51.57293219155395,-0.1034238296210968,987,353,9,12.080310589509558,31.53227613010259,Exercise,False
9,51.53138344813113,-0.0983932845917043,51.52766212543592,-0.11173941350065049,942,43,2,12.572555944847348,8.956787054260452,Exercise,True
10,51.589687161000725,-0.14649447743936983,51.52698339604517,-0.12667422996973957,888,268,2,21.1574652213215,34.30453533254133,Leisure,True
11,51.50729157492681,-0.11683819039084821,51.57195680767752,-0.057818816939134245,188,321,6,14.873980921128346,46.94463566157531,Mixed,False
12,51.50699609706278,-0.09104829607573162,51.56739972842417,-0.14694631018832555,467,2,8,18.74441298613741,18.506653295488032,Commute,True
13,51.57715684501087,-0.14841097711202084,51.59035101959297,-0.1185659147054746,354,118,3,12.645836316474064,21.291993255413907,Commute,False
14,51.56134463460943,-0.12031735599799184,51.50240739900938,-0.10571826128934993,817,17,4,23.173061333682003,5.327624741637257,Leisure,False
15,51.56669530904687,-0.0756823879865615,51.55412911846272,-0.1341952572042461,716,294,7,21.603344242874574,59.77128839970138,Commute,True
16,51.58109551123772,-0.06215045086108709,51.540367307633815,-0.10454864564455664,597,303,6,16.43022858764836,49.656628738136064,Exercise,True
17,51.55487469334913,-0.08317075082075812,51.5628810313351,-0.1273962837532479,965,282,3,22.02013602973537,37.97149987473022,Commute,False
18,51.56226089056687,-0.13922338735285586,51.50016066934855,-0.1158792549331477,361,210,3,10.946633624549964,55.7076836635016,Leisure,False
19,51.56200707631678,-0.14146772065050237,51.5065503979181,-0.07094830284882517,676,125,5,18.53233094697559,5.4222651392016585,Exercise,False
20,51.5378086408873,-0.0508348556517621,51.55603129319526,-0.11258289726818861,227,276,1,16.25803026981086,55.18349124649389,Commute,False
21,51.55768628152264,-0.12703826989796815,51.58937746791832,-0.1360020800374321,656,171,6,10.645732574343043,12.153141509447243,Commute,True
22,51.55258100878802,-0.11529706026365007,51.55085666040339,-0.06783302877847472,137,262,3,17.9159843177774,52.01104103654343,Mixed,True
23,51.554497199641304,-0.08969170089447072,51.51991121223499,-0.07439535082907764,539,121,6,15.449744234944799,8.529606015924283,Exercise,True
24,51.51365558442241,-0.12487603140274053,51.544638727853474,-0.11345159371874416,589,232,8,15.34768401686275,23.018337549334223,Mixed,True
25,51.50317522418846,-0.06626741745761723,51.52319250118973,-0.13333401305031406,84,163,3,20.903975047967343,19.595334959868538,Leisure,True
26,51.5128578912972,-0.08146575223708862,51.57864030443789,-0.07199678853848167,896,172,8,17.104874462929473,56.21290845729697,Mixed,False
27,51.56803866038295,-0.08285854580211344,51.51801534439459,-0.07429964577342783,915,78,4,23.709962698064224,37.08966353119077,Exercise,False
28,51.58674482521966,-0.07166464939878482,51.52337161707303,-0.12981882939227643,407,130,1,21.741357980259327,36.45604768182413,Leisure,True
29,51.53481461135126,-0.06299270169289171,51.532177274164304,-0.1360542632935932,335,140,7,15.457823200987592,31.543675321835483,Leisure,False
30,51.58704676275271,-0.14672987698593648,51.51084488962692,-0.14628711146469855,672,100,2,10.46498437443579,23.92709244951896,Exercise,False
31,51.596911220731215,-0.06665555669808187,51.522280950021646,-0.10309157010326167,184,245,6,23.21142344371662,22.826593591146658,Commute,False
32,51.50870482471066,-0.12269666260066889,51.536204932008545,-0.05196839783503095,657,44,7,11.598803998451448,45.34800121538357,Exercise,False
